"","variable","Plot.ID","estimate"
"1","map","s1",4.11309537433486
"2","map","s10",0.148809514726888
"3","map","s100",-0.121198821486088
"4","map","s101",0.597660774097108
"5","map","s102",0.333187156811093
"6","map","s103",0.24269017002039
"7","map","s104",0.182602323565565
"8","map","s105",0.747977193196614
"9","map","s106",0.781452936677845
"10","map","s107",0.871595432900972
"11","map","s108",0.844786251752797
"12","map","s109",0.820512906588044
"13","map","s11",-0.159857484214327
"14","map","s110",0.684387340056585
"15","map","s111",0.543504208295769
"16","map","s112",0.810712379390369
"17","map","s113",0.847378918248367
"18","map","s114",0.805612675593459
"19","map","s115",1.08225071051182
"20","map","s116",0.864074044512881
"21","map","s117",-2.66575027298143
"22","map","s118",-0.452328435112448
"23","map","s119",-2.15353495279959
"24","map","s12",-0.263646733210637
"25","map","s120",-2.42272690281732
"26","map","s121",0.889886083358374
"27","map","s122",0.878233804295214
"28","map","s123",0.91296299861028
"29","map","s124",0.973418832110544
"30","map","s125",0.815925866803551
"31","map","s126",0.947378946940106
"32","map","s127",1.10387455866887
"33","map","s128",0.904729444715715
"34","map","s129",1.06965809096638
"35","map","s13",-0.327692301171459
"36","map","s130",0.932478747245599
"37","map","s131",0.871168056390222
"38","map","s132",0.918347449669465
"39","map","s133",1.01179486396985
"40","map","s134",0.82552708552434
"41","map","s135",0.71225075746194
"42","map","s136",0.845099701188568
"43","map","s137",0.644843356140658
"44","map","s138",0.761111001560825
"45","map","s139",0.613076797876595
"46","map","s14",-1.0265736023831
"47","map","s140",0.52398861355252
"48","map","s141",0.586011389055823
"49","map","s142",0.581851733607097
"50","map","s143",0.678005843203301
"51","map","s144",0.856695006280874
"52","map","s145",0.788917382395166
"53","map","s146",0.77735048995059
"54","map","s147",0.865669529580662
"55","map","s148",0.837549764519056
"56","map","s149",1.01216531867655
"57","map","s15",-1.0265736023831
"58","map","s150",0.791196596846622
"59","map","s151",0.796438653407948
"60","map","s152",0.706552692641558
"61","map","s153",0.674358961317274
"62","map","s154",0.661282103448855
"63","map","s155",0.779344607622188
"64","map","s156",0.795242270445219
"65","map","s157",0.797720858582069
"66","map","s158",0.86945865728916
"67","map","s159",0.624501507098863
"68","map","s16",-0.594341309570063
"69","map","s160",0.678176663390588
"70","map","s161",0.654187976804551
"71","map","s162",0.58917386829344
"72","map","s163",0.600883212619358
"73","map","s164",0.715042586367347
"74","map","s165",0.620826207348425
"75","map","s166",0.708347590519833
"76","map","s167",0.6452704979008
"77","map","s168",0.818831800151073
"78","map","s169",-0.362197573723331
"79","map","s17",-0.594341309570063
"80","map","s170",-0.762835980999853
"81","map","s171",0.14082660367412
"82","map","s172",0.351814530357237
"83","map","s173",0.205006720942836
"84","map","s174",0.574159945211103
"85","map","s175",-0.682352722392364
"86","map","s176",-0.682352722392364
"87","map","s177",-0.347794083987969
"88","map","s178",-0.347794083987969
"89","map","s179",-0.642034295026
"90","map","s18",-0.1000001387164
"91","map","s180",-0.642034295026
"92","map","s181",0.376373626373629
"93","map","s182",0.170878936432222
"94","map","s183",0.307142681079906
"95","map","s184",0.157875346089463
"96","map","s185",0.0798532842279776
"97","map","s186",0.228937547285465
"98","map","s187",0.422619075565544
"99","map","s188",0.256868383386634
"100","map","s189",0.286630190335792
"101","map","s19",-0.713095392499619
"102","map","s190",0.562270782806049
"103","map","s191",0.35256421435011
"104","map","s192",0.157051086425755
"105","map","s193",0.190018328991554
"106","map","s194",0.0842493916605949
"107","map","s195",0.156593071235371
"108","map","s196",0.305403153974931
"109","map","s197",0.195970975435693
"110","map","s198",0.442765497899296
"111","map","s199",0.129779413167168
"112","map","s2",-0.0824592296896286
"113","map","s20",0.135416623524234
"114","map","s200",0.0720588529811181
"115","map","s201",0.0751225906259867
"116","map","s202",0.0713235420339245
"117","map","s203",0.0799019182429603
"118","map","s204",0.0751225317225744
"119","map","s205",0.0643382843802951
"120","map","s206",0.0514705756131344
"121","map","s207",0.112377475289737
"122","map","s208",0.0764706653707153
"123","map","s209",0.0655637334374816
"124","map","s21",0.135416623524234
"125","map","s210",0.0519608679939702
"126","map","s211",0.0352941807578581
"127","map","s212",0.108823550448698
"128","map","s213",0.0968137264251707
"129","map","s214",0.0828431494095738
"130","map","s215",0.1225490471896
"131","map","s216",0.106985312349655
"132","map","s217",0.097426452356226
"133","map","s218",0.0849264663808487
"134","map","s219",0.303113444820847
"135","map","s22",0.135416623524234
"136","map","s220",0.201923087402995
"137","map","s221",0.230311425177584
"138","map","s222",0.218406666766137
"139","map","s223",0.193681318681299
"140","map","s224",0.161630001696894
"141","map","s225",0.277014669481196
"142","map","s226",0.255036616063359
"143","map","s227",0.224358998812142
"144","map","s228",0.266483506003559
"145","map","s229",0.272893821800128
"146","map","s23",0.0866585116081158
"147","map","s230",0.226648414527956
"148","map","s231",0.244963352496789
"149","map","s232",0.232142773303341
"150","map","s233",1.01225490570068
"151","map","s234",0.993504942164701
"152","map","s235",0.993382495992321
"153","map","s236",0.976715674119837
"154","map","s237",1.02230390660903
"155","map","s238",1.02561278343201
"156","map","s239",1.00710785529193
"157","map","s24",0.214654278090861
"158","map","s240",1.0284313398249
"159","map","s241",1.74404765747404
"160","map","s242",1.86309533590797
"161","map","s243",1.78250927977508
"162","map","s244",1.72069588336314
"163","map","s245",1.81868129772142
"164","map","s246",1.86401107285047
"165","map","s247",1.9290293913621
"166","map","s248",1.93635542314129
"167","map","s249",1.84661182990439
"168","map","s25",0.214654278090861
"169","map","s250",1.97527470431482
"170","map","s251",1.90659331227395
"171","map","s252",1.79212447575158
"172","map","s253",1.94688634558036
"173","map","s254",1.95695969298643
"174","map","s255",1.98305865696496
"175","map","s256",1.98763736263733
"176","map","s257",1.98168497819165
"177","map","s258",1.99862631074672
"178","map","s259",1.98076918884945
"179","map","s26",-0.101082582392245
"180","map","s260",1.99679479494197
"181","map","s261",2.00183149484485
"182","map","s262",1.83928567236594
"183","map","s263",1.97481693016301
"184","map","s264",1.74725269485304
"185","map","s265",1.79487182281827
"186","map","s266",1.80860818087398
"187","map","s267",1.8443223932287
"188","map","s268",1.23076924753709
"189","map","s269",1.40970690381392
"190","map","s27",0.86330644699835
"191","map","s270",1.3263734754625
"192","map","s271",1.19102568574001
"193","map","s272",1.58864481160926
"194","map","s273",1.30183160802817
"195","map","s274",1.4895604730962
"196","map","s275",1.61556765378173
"197","map","s276",1.76666648780903
"198","map","s277",1.1274728460626
"199","map","s278",1.45860798594712
"200","map","s279",1.75512792566317
"201","map","s28",-5.12272730740608
"202","map","s280",1.84267398708465
"203","map","s281",1.89230782645087
"204","map","s282",1.59194153167388
"205","map","s283",1.5318682492434
"206","map","s284",1.38553097903072
"207","map","s285",1.43901095547515
